Step,Stage,Member,Script / Module,Lines,Task Description
1.1,Data Collection & Processing,M1,config.py,10-29,"Define data directory paths: RAW_LEGISLATION_DIR, RAW_SI_DIR, RAW_CASELAW_DIR, AMENDMENTS_DIR"
1.2,Data Collection & Processing,M1,config.py,197-209,"Define XML namespaces: LEG_NS, AKN_NS, META_NS for all parsers"
1.3,Data Collection & Processing,M1,1_download_legislation.py,70-155,"Define TRANSPORT_SUBJECTS, TITLE_KEYWORDS, SEED_ACTS — configure what legislation to discover"
1.4,Data Collection & Processing,M1,1_download_legislation.py,165-222,"Implement URIRegistry class — deduplicated store for discovered legislation URIs"
1.5,Data Collection & Processing,M1,1_download_legislation.py,230-288,"Implement parse_atom_feed() — parse Atom XML feeds, extract entries and pagination links"
1.6,Data Collection & Processing,M1,1_download_legislation.py,293-341,"Implement build_session(), get_bytes(), save_file() — HTTP client with retry and rate limiting"
1.7,Data Collection & Processing,M1,1_download_legislation.py,348-444,"Implement discover_by_subject(), discover_by_title(), discover_by_year_enum() — 3-layer URI discovery"
1.8,Data Collection & Processing,M1,1_download_legislation.py,449-531,"Implement download_legislation(), download_effects() — fetch and save XML files to disk"
1.9,Data Collection & Processing,M1,1_download_legislation.py,537-563,"Implement save_manifest() — record download metadata as JSON"
1.10,Data Collection & Processing,M1,1_download_legislation.py,567-640,"Implement run() — main orchestrator chaining discovery → filter → download → manifest"
1.11,Data Collection & Processing,M1,3_download_caselaw.py,54-86,"Implement build_session(), get_bytes() — HTTP helpers for National Archives API"
1.12,Data Collection & Processing,M1,3_download_caselaw.py,93-118,"Implement generate_queries() — read legislation corpus titles to create search queries"
1.13,Data Collection & Processing,M1,3_download_caselaw.py,125-172,"Implement search_caselaw(), find_all_judgment_links() — search Atom feed and collect judgment URLs"
1.14,Data Collection & Processing,M1,3_download_caselaw.py,179-245,"Implement download_judgments(), run() — download judgment XML files with skip-existing checks"
1.15,Data Collection & Processing,M2,utils/xml_parser.py,25-79,"Implement namespace helpers: _leg(), _akn(), _meta(), extract_text_recursive(), _extract_own_text()"
